"","ID","COUNTRY_NAME","ISO2","ADMIN1","ADMIN2","SITE_NAME","SITE_CODE","LATITUDE","LONGITUDE","TEST_TYPE","INSECTICIDE_CLASS","INSECTICIDE_CONC","INSECTICIDE_INTENSITY","INSECTICIDE_TYPE","YEAR_START","VECTOR_SPECIES","STAGE_ORIGIN","MOSQUITO_NUMBER","TIME_HOLDING_POSTEXPOSURE","MORTALITY_ADJUSTED","RESISTANCE_INTENSITY","DATA_SOURCE","CITATION","CITATION_URL","DATA_CURATOR"
"11","IRInt212","Benin","BJ","Outmt","Porto-Novo","Porto Novo","IRBJ104",6.4969,2.6289,"WHO tube test","Pyrethroids",0.75,"High","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","90",24,95.6,"High intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"12","IRDis368","Benin","BJ","Zou","Bohicon","Bohicon","IRBJ25",7.1833,2.0692,"WHO tube test","Pyrethroids",0.75,"Low","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","102",24,21.6,"N/A","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"13","IRInt214","Benin","BJ","Zou","Bohicon","Bohicon","IRBJ25",7.1833,2.0692,"WHO tube test","Pyrethroids",3.75,"Medium","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","97",24,73.2,"Moderate to high intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"14","IRInt215","Benin","BJ","Zou","Bohicon","Bohicon","IRBJ25",7.1833,2.0692,"WHO tube test","Pyrethroids",0.75,"High","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","94",24,97.9,"High intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"15","IRDis369","Benin","BJ","Atlantique","Allada","Allada","IRBJ13",6.6645,2.1598,"WHO tube test","Pyrethroids",0.75,"Low","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","96",24,17.7,"N/A","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"16","IRInt217","Benin","BJ","Atlantique","Allada","Allada","IRBJ13",6.6645,2.1598,"WHO tube test","Pyrethroids",3.75,"Medium","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","99",24,46.5,"Moderate to high intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"17","IRInt218","Benin","BJ","Atlantique","Allada","Allada","IRBJ13",6.6645,2.1598,"WHO tube test","Pyrethroids",0.75,"High","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","100",24,83.3,"High intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"18","IRDis370","Benin","BJ","Outmt","Adjohoun","Adjohoun","IRBJ5",6.7072,2.4964,"WHO tube test","Pyrethroids",0.75,"Low","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","62",24,43.5,"N/A","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"19","IRInt220","Benin","BJ","Outmt","Adjohoun","Adjohoun","IRBJ5",6.7072,2.4964,"WHO tube test","Pyrethroids",3.75,"Medium","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","50",24,72,"Moderate to high intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"20","IRInt221","Benin","BJ","Outmt","Adjohoun","Adjohoun","IRBJ5",6.7072,2.4964,"WHO tube test","Pyrethroids",0.75,"High","Permethrin",2017,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","43",24,90.7,"High intensity","Centre de Recherches Entomologiques de Cotonou","Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).","https://pubmed.ncbi.nlm.nih.gov/33853655/","World Health Organization"
"21","IRDis494","Burkina Faso","BF","Bobo","Dande","Vallee du Kou","IRBF60",11.4634,-4.318,"WHO tube test","Pyrethroids",0.75,"Low","Permethrin",2018,"An. coluzzii","F0_ADULTS_(FROM_WILD_LARVAE)","102",24,4.7,"N/A","Not available","Adams et al. (2021) Cuticular hydrocarbons are associated with mating success and insecticide resistance in malaria vectors. Communications biology 4, 911.","https://www.nature.com/articles/s42003-021-02434-1","World Health Organization"
"22","IRInt230","Burkina Faso","BF","Bobo","Dande","Vallee du Kou","IRBF60",11.4634,-4.318,"WHO tube test","Pyrethroids",3.75,"Medium","Permethrin",2018,"An. coluzzii","F0_ADULTS_(FROM_WILD_LARVAE)","55",24,30,"Moderate to high intensity","Not available","Adams et al. (2021) Cuticular hydrocarbons are associated with mating success and insecticide resistance in malaria vectors. Communications biology 4, 911.","https://www.nature.com/articles/s42003-021-02434-1","World Health Organization"
"23","IRInt231","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"Low","Alpha-cypermethrin",2019,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,68.9,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"24","IRInt232","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.25,"Medium","Alpha-cypermethrin",2019,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,54,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"25","IRInt233","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"High","Alpha-cypermethrin",2019,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,64.9,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"26","IRInt234","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"Low","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,10,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"27","IRInt235","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.25,"Medium","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,42,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"28","IRInt236","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"High","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,66,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"29","IRInt237","Ethiopia","ET","Oromiya","East Shewa","Meki","IRET78",8.15,38.8167,"WHO tube test","Pyrethroids",0.05,"Low","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,32.9,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"30","IRInt238","Ethiopia","ET","Oromiya","East Shewa","Meki","IRET78",8.15,38.8167,"WHO tube test","Pyrethroids",0.25,"Medium","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,67.8,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"31","IRInt239","Ethiopia","ET","Oromiya","East Shewa","Meki","IRET78",8.15,38.8167,"WHO tube test","Pyrethroids",0.05,"High","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,82.9,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"32","IRInt240","Ethiopia","ET","Oromiya","East Shewa","Metehara","IRET183",8.901,39.918,"WHO tube test","Pyrethroids",0.05,"Low","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,62.1,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"33","IRInt241","Ethiopia","ET","Oromiya","East Shewa","Metehara","IRET183",8.901,39.918,"WHO tube test","Pyrethroids",0.25,"Medium","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,77.9,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"34","IRInt242","Ethiopia","ET","Oromiya","East Shewa","Metehara","IRET183",8.901,39.918,"WHO tube test","Pyrethroids",0.05,"High","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,81,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"35","IRDis64","Côte d’Ivoire","CI","Gbeke","Beoumi","Beoumi","IRCI90",7.672502,-5.593886,"WHO tube test","Pyrethroids",0.05,"Low","Deltamethrin",2019,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,6.7,"N/A","Not available","Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454","https://pubmed.ncbi.nlm.nih.gov/33298071/","World Health Organization"
"36","IRInt30","Côte d’Ivoire","CI","Gbeke","Beoumi","Beoumi","IRCI90",7.672502,-5.593886,"WHO tube test","Pyrethroids",0.25,"Medium","Deltamethrin",2019,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,76.3,"Moderate to high intensity","Not available","Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454","https://pubmed.ncbi.nlm.nih.gov/33298071/","World Health Organization"
"37","IRInt31","Côte d’Ivoire","CI","Gbeke","Beoumi","Beoumi","IRCI90",7.672502,-5.593886,"WHO tube test","Pyrethroids",0.05,"High","Deltamethrin",2019,"An. gambiae s.l.","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,80.6,"High intensity","Not available","Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454","https://pubmed.ncbi.nlm.nih.gov/33298071/","World Health Organization"
"38","IRInt243","Ethiopia","ET","Somali","Shebelle","Godey","IRET184",5.952,43.557,"WHO tube test","Pyrethroids",0.05,"Low","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,1,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"39","IRInt244","Ethiopia","ET","Somali","Shebelle","Godey","IRET184",5.952,43.557,"WHO tube test","Pyrethroids",0.25,"Medium","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,11,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"40","IRInt245","Ethiopia","ET","Somali","Shebelle","Godey","IRET184",5.952,43.557,"WHO tube test","Pyrethroids",0.05,"High","Alpha-cypermethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,18.1,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"41","IRInt246","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"Low","Deltamethrin",2019,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,67.8,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"42","IRInt247","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.25,"Medium","Deltamethrin",2019,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,99.1,"Low intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"43","IRInt248","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"Low","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,14.9,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"44","IRInt249","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.25,"Medium","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,56,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"45","IRInt250","Ethiopia","ET","Oromiya","Bale","Awash","IRET171",8.174722,40.034444,"WHO tube test","Pyrethroids",0.05,"High","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,99.1,"Low intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"46","IRInt251","Ethiopia","ET","Oromiya","East Shewa","Meki","IRET78",8.15,38.8167,"WHO tube test","Pyrethroids",0.05,"Low","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,59.1,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"47","IRInt252","Ethiopia","ET","Oromiya","East Shewa","Meki","IRET78",8.15,38.8167,"WHO tube test","Pyrethroids",0.25,"Medium","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,90.8,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"48","IRInt253","Ethiopia","ET","Oromiya","East Shewa","Meki","IRET78",8.15,38.8167,"WHO tube test","Pyrethroids",0.05,"High","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,94.9,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"49","IRInt254","Ethiopia","ET","Oromiya","East Shewa","Metehara","IRET183",8.901,39.918,"WHO tube test","Pyrethroids",0.05,"Low","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,17,"N/A","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"50","IRInt255","Ethiopia","ET","Oromiya","East Shewa","Metehara","IRET183",8.901,39.918,"WHO tube test","Pyrethroids",0.25,"Medium","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,36.1,"Moderate to high intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
"51","IRInt256","Ethiopia","ET","Oromiya","East Shewa","Metehara","IRET183",8.901,39.918,"WHO tube test","Pyrethroids",0.05,"High","Deltamethrin",2020,"An. stephensi","F0_ADULTS_(FROM_WILD_LARVAE)","Not available",24,82.9,"High intensity","Not available","Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)","https://pubmed.ncbi.nlm.nih.gov/34107943/","World Health Organization"
