ID,COUNTRY_NAME,ISO2,ADMIN1,ADMIN2,SITE_NAME,SITE_CODE,LATITUDE,LONGITUDE,TEST_TYPE,INSECTICIDE_CLASS,INSECTICIDE_CONC,INSECTICIDE_INTENSITY,INSECTICIDE_TYPE,YEAR_START,VECTOR_SPECIES,STAGE_ORIGIN,MOSQUITO_NUMBER,TIME_HOLDING_POSTEXPOSURE,MORTALITY_ADJUSTED,RESISTANCE_INTENSITY,DATA_SOURCE,CITATION,CITATION_URL,DATA_CURATOR
IRInt212,Benin,BJ,Outmt,Porto-Novo,Porto Novo,IRBJ104,6.496900,2.628900,WHO tube test,Pyrethroids,7.5%,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),90,24HRS,95.60,High intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRDis368,Benin,BJ,Zou,Bohicon,Bohicon,IRBJ25,7.183300,2.069200,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),102,24HRS,21.60,N/A,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt214,Benin,BJ,Zou,Bohicon,Bohicon,IRBJ25,7.183300,2.069200,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),97,24HRS,73.20,Moderate to high intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt215,Benin,BJ,Zou,Bohicon,Bohicon,IRBJ25,7.183300,2.069200,WHO tube test,Pyrethroids,7.5%,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),94,24HRS,97.90,High intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRDis369,Benin,BJ,Atlantique,Allada,Allada,IRBJ13,6.664500,2.159800,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),96,24HRS,17.70,N/A,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt217,Benin,BJ,Atlantique,Allada,Allada,IRBJ13,6.664500,2.159800,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),99,24HRS,46.50,Moderate to high intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt218,Benin,BJ,Atlantique,Allada,Allada,IRBJ13,6.664500,2.159800,WHO tube test,Pyrethroids,7.5%,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),100,24HRS,83.30,High intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRDis370,Benin,BJ,Outmt,Adjohoun,Adjohoun,IRBJ5,6.707200,2.496400,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),62,24HRS,43.50,N/A,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt220,Benin,BJ,Outmt,Adjohoun,Adjohoun,IRBJ5,6.707200,2.496400,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),50,24HRS,72.00,Moderate to high intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRInt221,Benin,BJ,Outmt,Adjohoun,Adjohoun,IRBJ5,6.707200,2.496400,WHO tube test,Pyrethroids,7.5%,10,Permethrin,2017,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),43,24HRS,90.70,High intensity,Centre de Recherches Entomologiques de Cotonou,"Sagbohan et al. (2021) Intensity and mechanisms of deltamethrin and permethrin resistance in Anopheles gambiae s.l. populations in southern Benin. Parasites Vectors 14, 202 (2021).",https://pubmed.ncbi.nlm.nih.gov/33853655/,World Health Organization
IRDis494,Burkina Faso,BF,Bobo,Dande,Vallee du Kou,IRBF60,11.463400,-4.318000,WHO tube test,Pyrethroids,0.75%,1,Permethrin,2018,An. coluzzii,F0_ADULTS_(FROM_WILD_LARVAE),102,24HRS,4.70,N/A,Not available,"Adams et al. (2021) Cuticular hydrocarbons are associated with mating success and insecticide resistance in malaria vectors. Communications biology 4, 911.",https://www.nature.com/articles/s42003-021-02434-1,World Health Organization
IRInt230,Burkina Faso,BF,Bobo,Dande,Vallee du Kou,IRBF60,11.463400,-4.318000,WHO tube test,Pyrethroids,3.75%,5,Permethrin,2018,An. coluzzii,F0_ADULTS_(FROM_WILD_LARVAE),55,24HRS,30.00,Moderate to high intensity,Not available,"Adams et al. (2021) Cuticular hydrocarbons are associated with mating success and insecticide resistance in malaria vectors. Communications biology 4, 911.",https://www.nature.com/articles/s42003-021-02434-1,World Health Organization
IRInt231,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.05%,1,Alpha-cypermethrin,2019,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,68.90,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt232,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2019,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,54.00,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt233,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.5%,10,Alpha-cypermethrin,2019,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,64.90,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt234,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.05%,1,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,10.00,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt235,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,42.00,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt236,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.5%,10,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,66.00,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt237,Ethiopia,ET,Oromiya,East Shewa,Meki,IRET78,8.150000,38.816700,WHO tube test,Pyrethroids,0.05%,1,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,32.90,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt238,Ethiopia,ET,Oromiya,East Shewa,Meki,IRET78,8.150000,38.816700,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,67.80,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt239,Ethiopia,ET,Oromiya,East Shewa,Meki,IRET78,8.150000,38.816700,WHO tube test,Pyrethroids,0.5%,10,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,82.90,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt240,Ethiopia,ET,Oromiya,East Shewa,Metehara,IRET183,8.901000,39.918000,WHO tube test,Pyrethroids,0.05%,1,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,62.10,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt241,Ethiopia,ET,Oromiya,East Shewa,Metehara,IRET183,8.901000,39.918000,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,77.90,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt242,Ethiopia,ET,Oromiya,East Shewa,Metehara,IRET183,8.901000,39.918000,WHO tube test,Pyrethroids,0.5%,10,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,81.00,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRDis64,Côte d’Ivoire,CI,Gbeke,Beoumi,Beoumi,IRCI90,7.672502,-5.593886,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,6.70,N/A,Not available,Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454,https://pubmed.ncbi.nlm.nih.gov/33298071/,World Health Organization
IRInt30,Côte d’Ivoire,CI,Gbeke,Beoumi,Beoumi,IRCI90,7.672502,-5.593886,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,76.30,Moderate to high intensity,Not available,Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454,https://pubmed.ncbi.nlm.nih.gov/33298071/,World Health Organization
IRInt31,Côte d’Ivoire,CI,Gbeke,Beoumi,Beoumi,IRCI90,7.672502,-5.593886,WHO tube test,Pyrethroids,0.5%,10,Deltamethrin,2019,An. gambiae s.l.,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,80.60,High intensity,Not available,Kouassi B et al.(2020) Susceptibility of Anopheles gambiae from Cote d’Ivoire to insecticides used on insecticide‑treated nets: evaluating the additional entomological impact of piperonyl butoxide and chlorfenapyr. Malar J 2020 19:454,https://pubmed.ncbi.nlm.nih.gov/33298071/,World Health Organization
IRInt243,Ethiopia,ET,Somali,Shebelle,Godey,IRET184,5.952000,43.557000,WHO tube test,Pyrethroids,0.05%,1,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,1.00,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt244,Ethiopia,ET,Somali,Shebelle,Godey,IRET184,5.952000,43.557000,WHO tube test,Pyrethroids,0.25%,5,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,11.00,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt245,Ethiopia,ET,Somali,Shebelle,Godey,IRET184,5.952000,43.557000,WHO tube test,Pyrethroids,0.5%,10,Alpha-cypermethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,18.10,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt246,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2019,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,67.80,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt247,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2019,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,99.10,Low intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt248,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,14.90,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt249,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,56.00,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt250,Ethiopia,ET,Oromiya,Bale,Awash,IRET171,8.174722,40.034444,WHO tube test,Pyrethroids,0.5%,10,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,99.10,Low intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt251,Ethiopia,ET,Oromiya,East Shewa,Meki,IRET78,8.150000,38.816700,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,59.10,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt252,Ethiopia,ET,Oromiya,East Shewa,Meki,IRET78,8.150000,38.816700,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,90.80,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt253,Ethiopia,ET,Oromiya,East Shewa,Meki,IRET78,8.150000,38.816700,WHO tube test,Pyrethroids,0.5%,10,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,94.90,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt254,Ethiopia,ET,Oromiya,East Shewa,Metehara,IRET183,8.901000,39.918000,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,17.00,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt255,Ethiopia,ET,Oromiya,East Shewa,Metehara,IRET183,8.901000,39.918000,WHO tube test,Pyrethroids,0.25%,5,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,36.10,Moderate to high intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt256,Ethiopia,ET,Oromiya,East Shewa,Metehara,IRET183,8.901000,39.918000,WHO tube test,Pyrethroids,0.5%,10,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,82.90,High intensity,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
IRInt257,Ethiopia,ET,Somali,Shebelle,Godey,IRET184,5.952000,43.557000,WHO tube test,Pyrethroids,0.05%,1,Deltamethrin,2020,An. stephensi,F0_ADULTS_(FROM_WILD_LARVAE),Not available,24HRS,7.10,N/A,Not available,"Balkew et al. (2021) An update on the distribution, bionomics, and insecticide susceptibility of Anopheles stephensi in Ethiopia, 2018–2020. Malar J 20, 263 (2021)",https://pubmed.ncbi.nlm.nih.gov/34107943/,World Health Organization
